"Education level I, Developing country","Education level I, Developed country","Education level II, Developing country","Education level II, Developed country","Education level III, Developing country","Education level III, Developed country"
67.6,79.3,76,79.3,71,82
79,74.9,73.2,76.3,81.8,75.7
59.7,77,76.1,74,73,82.3
75,82,74.4,83,71.9,80
73,78.7,73.9,75,74.7,78.6
74.4,73,70,81.1,77.6,78
69.6,78.4,77.6,79.7,83,79.9
54.5,77,73,81,79.3,81.7
74.6,71.7,64.9,78.6,81.7,76.1
75.5,71.6,71.7,73.8,78,79.4
68.8,74.7,79.1,72.2,72.1,71.9
73.6,71.1,74.4,75.2,72.5,79.8
77.3,74.7,72.6,77.8,79.3,89
68.4,78.1,77.2,81.7,87,81.8
67.9,78.3,73.8,79.4,74.6,81.2
63.4,74.8,67.7,75,81.7,76.4
74,72,72.8,73.7,74.1,76.7
77.6,78.5,74.6,78.6,69.6,82.7
68.5,79,74.1,78.5,79.3,81.1
72.6,71.8,75.4,76,81.1,83
54.9,79.7,73.3,79,78.1,78
68,71.1,73.3,78.8,82.2,83
71,78,76,79.3,76.1,88
72.5,78.2,73.9,81,78.1,77
74.6,,74.1,79.8,75.4,79.8
66.9,,74.5,81.9,81.5,74.6
69.2,,74.7,78.7,74.1,78
76.2,,71.8,74.2,89,81.6
73.5,,77.2,82.1,79,80
72.2,,76.2,78.8,81.8,89
59.7,,67.5,81.7,85,85
71.5,,71.4,82.4,75.3,84
64.7,,71.4,77.8,76.2,77.5
69.5,,73.3,72.1,73.6,79.8
75.5,,74.5,81.7,74.5,81.7
72,,68,78.7,69.5,73.5
63,,74,77.7,70,79.5
68.9,,76.5,87,74.4,74.1
72.6,,74.2,81.4,79.1,81.4
74.3,,75.3,69.9,75.2,77.7
77.2,,76.9,73.1,82.2,77.3
73.1,,75.3,81.1,77.3,83
54,,72,73.7,74.9,78.1
63,,74.6,82,77.6,85
69.7,,74.7,80,79.9,76.9
71.7,,62,72.5,81,81
75,,71.7,74.3,75.6,72.8
71.5,,73.2,73.3,77.9,82
64.3,,72.7,76,79.8,77
68.3,,73.6,75.8,73.2,74.1
,,73.7,,,74.3
,,74.5,,,84
,,67.9,,,83.5
,,69.1,,,78.7
,,74.5,,,75.8
